date,daily_rain
2017-11-03,0.02
2017-11-04,0.51
2017-11-05,0
2017-11-06,0.01
2017-11-07,4.71
2017-11-08,0.01
2017-11-09,0.02
2017-11-10,0.01
2017-11-11,0.16
2017-11-12,0
2017-11-13,0
2017-11-14,0.02
2017-11-15,0.02
2017-11-16,0
2017-11-17,0.18
2017-11-18,6.98
2017-11-19,2.43
2017-11-20,1.81
2017-11-21,0.11
2017-11-22,0
2017-11-23,0.04
2017-11-24,0
2017-11-25,0
2017-11-26,0.35
2017-11-27,0.01
2017-11-28,0.08
2017-11-29,0
2017-11-30,0
2017-12-01,0.01
2017-12-02,0
2017-12-03,0
2017-12-04,4.54
2017-12-05,3.42
2017-12-06,0.03
2017-12-07,0
2017-12-08,6.55
2017-12-09,0.1
2017-12-10,0.14
2017-12-11,6.89
2017-12-12,0.77
2017-12-13,0.02
2017-12-14,0.36
2017-12-15,0.09
2017-12-16,0.02
2017-12-17,0.07
2017-12-18,0.02
2017-12-19,0.02
2017-12-20,0.66
2017-12-21,0.19
2017-12-22,0.16
2017-12-23,1.47
2017-12-24,0.01
2017-12-25,0
2017-12-26,0.02
2017-12-27,3.93
2017-12-28,2.2
2017-12-29,0.03
2017-12-30,0.58
2017-12-31,4.59
2018-01-01,0.35
2018-01-02,0.19
2018-01-03,0.24
2018-01-04,0.02
2018-01-05,0
2018-01-06,0.09
2018-01-07,3.17
2018-01-08,0
2018-01-09,5.52
2018-01-10,6.57
2018-01-11,3.34
2018-01-12,3.92
2018-01-13,2.64
2018-01-14,0.82
2018-01-15,0.37
2018-01-16,0.08
2018-01-17,2.49
2018-01-18,0.04
2018-01-19,0.53
2018-01-20,0.37
2018-01-21,0.07
2018-01-22,0.02
2018-01-23,0
2018-01-24,0.05
2018-01-25,4.81
2018-01-26,18.95
2018-01-27,9
2018-01-28,4.61
2018-01-29,4.82
2018-01-30,3.57
2018-01-31,0.52
2018-02-01,1.46
2018-02-02,7.78
2018-02-03,3.8
2018-02-04,1.17
2018-02-05,0.09
2018-02-06,0.28
2018-02-07,0
2018-02-08,0
2018-02-09,1.22
2018-02-10,3.35
2018-02-11,0.74
2018-02-12,0.01
2018-02-13,0
2018-02-14,4.23
2018-02-15,3.85
2018-02-16,0
2018-02-17,0.99
2018-02-18,1.06
2018-02-19,0.66
2018-02-20,4.55
2018-02-21,9.74
2018-02-22,1.39
2018-02-23,0.31
2018-02-24,4.79
2018-02-25,0.01
2018-02-26,0.02
2018-02-27,0.26
2018-02-28,0
2018-03-01,1.37
2018-03-02,0.28
2018-03-03,1.74
2018-03-04,3.81
2018-03-05,0.31
2018-03-06,0.72
2018-03-07,0.1
2018-03-08,0.15
2018-03-09,0.23
2018-03-10,0.01
2018-03-11,5.06
2018-03-12,0.12
2018-03-13,1.68
2018-03-14,0.46
2018-03-15,0.02
2018-03-16,2.52
2018-03-17,6.31
2018-03-18,0
2018-03-19,0.01
2018-03-20,0
2018-03-21,1.03
2018-03-22,8.05
2018-03-23,3.34
2018-03-24,0.06
2018-03-25,0
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,0.62
2018-03-30,0.78
2018-03-31,1.81
2018-04-01,0.2
2018-04-02,2.44
2018-04-03,0.49
2018-04-04,3
2018-04-05,0.22
2018-04-06,0.56
2018-04-07,2.13
2018-04-08,0.27
2018-04-09,7.98
2018-04-10,0.02
2018-04-11,1.51
2018-04-12,8.55
2018-04-13,0.03
2018-04-14,3.06
2018-04-15,0.8
2018-04-16,0.97
2018-04-17,0.62
2018-04-18,0.01
2018-04-19,0.35
2018-04-20,0.02
2018-04-21,0.03
2018-04-22,0
2018-04-23,0.21
2018-04-24,0.15
2018-04-25,0.01
2018-04-26,3.14
2018-04-27,3.19
2018-04-28,8.96
2018-04-29,3.56
2018-04-30,9.3
2018-05-01,2.44
2018-05-02,12.13
2018-05-03,1.45
2018-05-04,0.09
2018-05-05,1.04
2018-05-06,0
2018-05-07,0.01
2018-05-08,0.4
2018-05-09,4.32
2018-05-10,11.3
2018-05-11,0.4
2018-05-12,0.99
2018-05-13,3.19
2018-05-14,0
2018-05-15,0
2018-05-16,0.21
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,2.04
2018-05-23,3.39
2018-05-24,0
2018-05-25,1.79
2018-05-26,3.6
2018-05-27,1.18
2018-05-28,10.41
2018-05-29,0.85
2018-05-30,3.02
2018-05-31,2.45
2018-06-01,0.32
2018-06-02,3.61
2018-06-03,0
2018-06-04,0
2018-06-05,0
2018-06-06,0
2018-06-07,0
2018-06-08,0
2018-06-09,1.5
2018-06-10,0
2018-06-11,0
2018-06-12,14.42
2018-06-13,0
2018-06-14,0
2018-06-15,0
2018-06-16,0
2018-06-17,0
2018-06-18,0
2018-06-19,0
2018-06-20,0
2018-06-21,0
2018-06-22,0
2018-06-23,0.78
2018-06-24,11.45
2018-06-25,0.07
2018-06-26,2.41
2018-06-27,0.02
2018-06-28,0.03
2018-06-29,5.96
2018-06-30,0.04
2018-07-01,0.24
2018-07-02,0.66
2018-07-03,0.01
2018-07-04,0
2018-07-05,0.03
2018-07-06,0
2018-07-07,0
2018-07-08,0.05
2018-07-09,0
2018-07-10,0.14
2018-07-11,0
2018-07-12,0
2018-07-13,0
2018-07-14,0
2018-07-15,0
2018-07-16,0.01
2018-07-17,0.05
2018-07-18,0.04
2018-07-19,0
2018-07-20,0
2018-07-21,0
2018-07-22,0
2018-07-23,0
2018-07-24,0
2018-07-25,0
2018-07-26,0
2018-07-27,0
2018-07-28,0
2018-07-29,0
2018-07-30,0
2018-07-31,0
2018-08-01,0
2018-08-02,0
2018-08-03,0
2018-08-04,0
2018-08-05,0
2018-08-06,0
2018-08-07,0
2018-08-08,0
2018-08-09,0
2018-08-10,0
2018-08-11,0
2018-08-12,0
2018-08-13,0
2018-08-14,0
2018-08-15,0
2018-08-16,0
2018-08-17,0
2018-08-18,0
2018-08-19,0
2018-08-20,0.01
2018-08-21,0
2018-08-22,0
2018-08-23,0
2018-08-24,0
2018-08-25,0
2018-08-26,4.69
2018-08-27,21.71
2018-08-28,0.26
2018-08-29,1.96
2018-08-30,3.89
2018-08-31,0
2018-09-01,0
2018-09-02,0
2018-09-03,0
2018-09-04,0
2018-09-05,0
2018-09-06,0
2018-09-07,0.25
2018-09-08,0.09
2018-09-09,18.86
2018-09-10,11.46
2018-09-11,2.94
2018-09-12,1.49
2018-09-13,8.51
2018-09-14,0
2018-09-15,3.25
2018-09-16,8.46
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0.21
2018-09-21,0
2018-09-22,1.66
2018-09-23,0.57
2018-09-24,2.77
2018-09-25,3.22
2018-09-26,5.85
2018-09-27,0
2018-09-28,3.68
2018-09-29,0.93
